Mstar,class_star,qir,log(S8/S45),log(S58/S36),log(S45/S36)
0.880266391,0.000230047,0.607149627,0.39142185,0.399225114,0.25942018
0.895376098,0.000220689,0.610323428,0.443443656,0.484167123,0.133061791
0.913052499,0.001096097,0.64383009,0.504365156,0.444894786,0.217832078
0.892465597,0.979169235,0.697841222,0.76400919,0.820899338,0.75295766
0.873499329,0.000991237,0.621936618,0.576205012,0.572003608,0.348075553
0.853266904,0.000847432,0.617472353,0.47772769,0.601337724,0.195163408
0.857629691,0.024359669,0.624449033,0.7325408,0.422315519,0.373252653
0.915417651,0.028723123,0.630497685,0.520617817,0.51026518,0.0965884
0.859432304,0.028705009,0.633769478,0.939724298,0.523040198,0.111206151
0.924694501,3.54E-05,0.30129676,0.388422007,0.606141585,0.483133903
0.826292905,0.715901078,0.592340348,0.524046149,0.487389703,0.365601939
0.911357177,0.000534563,0.538498407,0.573713337,0.503540623,0.147711513
0.892809404,0.029255271,0.635461125,0.644343171,0.497704235,0.271151621
0.912779824,0.000552476,0.549416327,0.463304934,0.386430134,0.094290334
0.883336939,0.000693061,0.607954823,0.591267903,0.509340341,0.246955018
0.944036586,0.680207799,0.592552224,0.444155221,0.659752758,0.690885844
0.890651721,0.026492991,0.607373309,0.542369362,0.406696847,0.320755573
0.917421213,0.007392714,0.516038512,0.471137554,0.484473875,0.144993334
0.893971233,0.028649359,0.602386969,0.652963006,0.502679804,0.332342402
0.91480117,3.32E-06,0.68104145,0.51287834,0.476051293,0.436215792
0.863530716,0.028981851,0.626886029,0.672982564,0.607224774,0.226811955
0.936318721,0.756212815,0.644275273,0.537594413,0.665579229,0.550787049
0.933746099,0.018459546,0.346788632,0.374847626,0.379265437,0.154968539
0.910385034,0.000208009,0.584141263,0.440379436,0.517101208,0.499757239
0.824653896,0.909606654,0.549152872,0.536431378,0.481143441,0.163033228
0.932762101,0.020145554,0.610948301,0.555676036,0.413387103,0.293329018
0.916626902,0.021063026,0.60240466,0.628554699,0.508044643,0.224947875
0.912441946,0.02750365,0.581226317,0.536492629,0.449105063,0.165374076
0.919578896,0.023251697,0.407976378,0.466524316,0.485924825,0.364782244
0.902270013,0.000783429,0.597904489,0.642847935,0.522024307,0.119799433
0.906217861,0.000231758,0.648059364,0.489804142,0.522195768,0.180080892
0.938351922,0.028703701,0.612598364,0.49150248,0.459858418,0.279542169
0.872913672,0.003084105,0.62026315,0.692313625,0.503916229,0.352180551
0.898037635,0.028715475,0.649222209,0.77224159,0.703244651,0.375320563
0.882086195,0.028684581,0.661840712,0.621616032,0.424611481,0.308597266
0.911772116,0.028576702,0.600829372,0.604800592,0.336471473,0.108577065
0.885091539,0.028490962,0.613696593,0.722460536,0.581282678,0.286221539
0.901475701,0.003489254,0.606849655,0.420773841,0.730922486,0.587120735
0.9070181,0.028647346,0.586998147,0.446037384,0.473316038,0.184415275
0.89743301,0.140140148,0.624768685,0.628646867,0.655379175,0.598075596
0.842320813,0.000987513,0.616056657,0.896301183,0.519628835,0.37241404
0.901588327,0.021825121,0.595719623,0.647648381,0.501015848,0.265934253
0.908470387,0.028708431,0.674080084,0.706035626,0.485866182,0.358488497
0.901422352,0.028691323,0.687624059,0.720666513,0.463105475,0.313712714
0.934184749,0.000339838,0.626504236,0.575899709,0.480958116,0.204384202
0.933271883,0.000531544,0.602005475,0.542961537,0.578187397,0.389134718
0.921979615,0.000196738,0.640372175,0.909527348,0.686062725,0.323223907
0.872159669,0.000975538,0.625702657,0.818099267,0.559141209,0.546961739
0.917101118,0.153049774,0.54687846,0.423151259,0.464754958,0.408409772
0.91243009,0.427178464,0.602831795,0.612077858,0.686491762,0.626437271
0.880574631,0.02870833,0.658091245,0.807306368,0.521532739,0.435089057
0.857966384,0.02872101,0.627165071,0.585996073,0.490022535,0.256462862
0.927267123,0.028715374,0.24623531,0.374064524,0.439156082,0.062374817
0.881777954,0.028708129,0.680305018,0.804955729,0.543155451,0.386262231
0.92214559,0.991060956,0.616942716,0.725299759,0.76404476,0.584753456
